code_insee,nom_commune,departement,strate_perso,taux_tfpb,evol_2021_2024,rank_tfpb_dep_strate,ecart_tfpb_2024_vs_dep_strate_mean
62395,Guigny,62,< 500 hab,33.53,0.0,0.3006681514476614,-2.0232293986636947
62396,Guinecourt,62,< 500 hab,30.8,0.0,0.0979955456570155,-4.753229398663695
62397,Guînes,62,5000-9999 hab,41.85,0.0,0.1458333333333333,-7.579791666666665
62398,Guisy,62,< 500 hab,35.67,2.21,0.5367483296213809,0.1167706013363059
62399,Habarcq,62,500-1999 hab,32.03,0.0,0.1048951048951049,-6.108881118881115
62400,Haillicourt,62,3500-4999 hab,46.44,0.0,0.6333333333333333,1.9223333333333343
62401,Haisnes,62,3500-4999 hab,35.52,0.0,0.0666666666666666,-8.99766666666666
62402,Halinghen,62,< 500 hab,34.32,0.0,0.3841870824053452,-1.2332293986636955
62403,Hallines,62,500-1999 hab,42.68,0.0,0.8216783216783217,4.541118881118884
62404,Halloy,62,< 500 hab,40.72,0.0,0.9153674832962138,5.166770601336303
62405,Hamblain-les-Prés,62,< 500 hab,41.97,0.0,0.9398663697104676,6.416770601336303
62406,Hamelincourt,62,< 500 hab,37.81,0.0,0.7516703786191536,2.2567706013363065
62407,Ham-en-Artois,62,500-1999 hab,45.42,0.89,0.916083916083916,7.281118881118886
62408,Hames-Boucres,62,500-1999 hab,31.83,0.0,0.0944055944055944,-6.308881118881118
62409,Hannescamps,62,< 500 hab,34.14,0.0,0.3652561247216035,-1.4132293986636952
62410,Haplincourt,62,< 500 hab,32.81,0.0,0.2260579064587973,-2.743229398663693
62411,Haravesnes,62,< 500 hab,39.26,0.0,0.844097995545657,3.706770601336302
62412,Hardinghen,62,500-1999 hab,29.36,0.0,0.0209790209790209,-8.778881118881117
62413,Harnes,62,10 000-19 999 hab,50.17,0.0,0.3529411764705882,-3.465294117647055
62414,Haucourt,62,< 500 hab,38.12,0.0,0.7750556792873051,2.5667706013363016
62415,Haute-Avesnes,62,< 500 hab,32.43,0.0,0.1859688195991091,-3.123229398663696
62416,Hautecloque,62,< 500 hab,33.17,0.0,0.2761692650334075,-2.383229398663694
